code,best_description,sources_available
B0028,Right Front Passenger Side Deployment Loop Resistance Low,"fieldlogix,gist"
B1200,Climate Control Pushbutton Circuit Failure,"fieldlogix,gist"
B1201,Fuel Sender Circuit Failure,"fieldlogix,gist"
B1202,Fuel Sender Circuit Open,"fieldlogix,gist"
B1203,Fuel Sender Circuit Short To Battery,"fieldlogix,gist"
B1204,Fuel Sender Circuit Short To Ground,"fieldlogix,gist"
B1205,EIC Switch-1 Assembly Circuit Failure,"fieldlogix,gist"
B1206,EIC Switch-1 Assembly Circuit Open,"fieldlogix,gist"
B1207,EIC Switch-1 Assembly Circuit Short To Battery,"fieldlogix,gist"
B1208,EIC Switch-1 Assembly Circuit Short To Ground,"fieldlogix,gist"
B1209,EIC Switch-2 Assembly Circuit Failure,"fieldlogix,gist"
B1210,EIC Switch-2 Assembly Circuit Open,"fieldlogix,gist"
B1211,EIC Switch-2 Assembly Circuit Short To Battery,"fieldlogix,gist"
B1212,EIC Switch-2 Assembly Circuit Short To Ground,"fieldlogix,gist"
B1213,Anti-Theft Number of Programmed Keys Is Below Minimum,"fieldlogix,gist"
B1214,Running Board Lamp Circuit Failure,"fieldlogix,gist"
B1215,Running Board Lamp Circuit Short to Battery,"fieldlogix,gist"
B1216,Emergency & Road Side Assistance Switch Circuit Short to Ground,"fieldlogix,gist"
B1217,Horn Relay Coil Circuit Failure,"fieldlogix,gist"
B1218,Horn Relay Coil Circuit Short to Vbatt,"fieldlogix,gist"
B1219,Fuel Tank Pressure Sensor Circuit Failure,"fieldlogix,gist"
B1220,Fuel Tank Pressure Sensor Circuit Open,"fieldlogix,gist"
B1222,Fuel Temperature Sensor #1 Circuit Failure,"fieldlogix,gist"
B1223,Fuel Temperature Sensor #1 Circuit Open,"fieldlogix,gist"
B1224,Fuel Temperature Sensor #1 Circuit Short to Battery,"fieldlogix,gist"
B1225,Fuel Temperature Sensor #1 Circuit Short to Ground,"fieldlogix,gist"
B1226,Fuel Temperature Sensor #2 Circuit Failure,"fieldlogix,gist"
B1227,Fuel Temperature Sensor #2 Circuit Open,"fieldlogix,gist"
B1228,Fuel Temperature Sensor #2 Circuit Short to Battery,"fieldlogix,gist"
B1229,Fuel Temperature Sensor #2 Circuit Short to Ground,"fieldlogix,gist"
B1231,Longitudinal Acceleration Threshold Exceeded,"fieldlogix,gist"
B1232,See Manufacturer,"fieldlogix,gist"
B1233,Glass Break Sensor Failure,"fieldlogix,gist"
B1234,Mirror Switch Invalid Code,"fieldlogix,gist"
B1235,Window Feedback Failure,"fieldlogix,gist"
B1236,Window Feedback Loss of Signal,"fieldlogix,gist"
B1237,Window Feedback Out of Range,"fieldlogix,gist"
B1238,Over Temperature Fault,"fieldlogix,gist"
B1239,Air Flow Blend Door Driver Circuit Failure,"fieldlogix,gist"
B1240,Wiper Washer Rear Pump Relay Circuit Failure,"fieldlogix,gist"
B1241,Wiper Washer Rear Pump Relay Circuit Short to Battery,"fieldlogix,gist"
B1242,Air Flow Recirculation Door Driver Circuit Failure,"fieldlogix,gist"
B1243,Express Window Down Switch Circuit Short to Battery,"fieldlogix,gist"
B1244,Wiper Rear Motor Run Relay Circuit Failure,"fieldlogix,gist"
B1245,Wiper Rear Motor Run Relay Circuit Short to Battery,"fieldlogix,gist"
B1246,Dim Panel Potentiometer Switch Circuit Failure,"fieldlogix,gist"
B1247,Panel Dim Switch Circuit Open,"fieldlogix,gist"
B1248,Passenger's Seatback Autoglide Rearward Switch Circuit Short to Ground,"fieldlogix,gist"
B1249,Blend Door Failure,"fieldlogix,gist"
B1250,Air Temperature Internal Sensor Circuit Failure,"fieldlogix,gist"
B1251,Air Temperature Internal Sensor Circuit Open,"fieldlogix,gist"
B1252,Air Temperature Internal Sensor Circuit Short To Battery,"fieldlogix,gist"
B1253,Air Temperature Internal Sensor Circuit Short To Ground,"fieldlogix,gist"
B1254,Air Temperature External Sensor Circuit Failure,"fieldlogix,gist"
B1255,Air Temperature External Sensor Circuit Open,"fieldlogix,gist"
B1256,Air Temperature External Sensor Circuit Short To Battery,"fieldlogix,gist"
B1257,Air Temperature External Sensor Circuit Short To Ground,"fieldlogix,gist"
B1258,Solar Radiation Sensor Circuit Failure,"fieldlogix,gist"
B1259,Solar Radiation Sensor Circuit Open,"fieldlogix,gist"
B1260,Solar Radiation Sensor Circuit Short To Battery,"fieldlogix,gist"
B1261,Solar Radiation Sensor Circuit Short To Ground,"fieldlogix,gist"
B1262,Servo Motor Defrost Circuit Failure,"fieldlogix,gist"
B1263,Servo Motor Vent Circuit Failure,"fieldlogix,gist"
B1264,Servo Motor Foot Circuit Failure,"fieldlogix,gist"
B1265,Servo Motor Coolair Bypass Circuit Failure,"fieldlogix,gist"
B1266,Servo Motor Airintake Left Circuit Failure,"fieldlogix,gist"
B1267,Servo Motor Airintake Right Circuit Failure,"fieldlogix,gist"
B1268,Servo Motor Potentiometer Defrost Circuit Failure,"fieldlogix,gist"
B1269,Servo Motor Potentiometer Defrost Circuit Open,"fieldlogix,gist"
